site,habitat,lat,lon,plot,treatment,species,survival23,dead23,height23,rhizome23,leaflength23,taproot23,survival24,dead24,height24,ramets24,leaflength24,numleaves24,numflower24,flower24,biomass_a24,biomass_b24,biomass24,notes24
15,B,58.68277778,-93.84694444,1,0,Toff,1,0,,,8.6,4.5,1,0,,,4,2,,0,0.0339,0.0714,0.1053,
15,B,58.68277778,-93.84694444,2,5,Lvul,1,0,37.1,8.6,,,1,0,9.8,15,,,,0,0.4288,0.4471,0.8759,
15,B,58.68277778,-93.84694444,2,5,Pmaj,1,0,,,8.1,,1,0,,,12,3,,0,0.3412,0.2529,0.5941,
15,B,58.68277778,-93.84694444,2,5,Toff,1,0,,,7.3,4.6,1,0,,,5.1,6,,0,0.0936,0.1789,0.2725,
15,B,58.68277778,-93.84694444,3,20,Lvul,1,0,32.5,10,,,1,0,51.4,17,,,44,1,4.31,0.9541,5.2641,
15,B,58.68277778,-93.84694444,3,20,Pmaj,1,0,,,5.7,,1,0,,,14.6,4,1,1,0.3521,0.2112,0.5633,
15,B,58.68277778,-93.84694444,3,20,Toff,1,0,,,10.3,7.3,1,0,,,12.1,8,3,1,0.8268,1.2349,2.0617,
16,B,58.67861111,-93.84361111,1,5,Lvul,1,0,36.2,3.8,,,1,0,14.8,5,,,,0,0.2634,0.2738,0.5372,
16,B,58.67861111,-93.84361111,1,5,Pmaj,1,0,,,6.9,,0,1,,,,,,0,,,,
16,B,58.67861111,-93.84361111,1,5,Toff,1,0,,,10,3.6,0,1,,,,,,0,,,,
16,B,58.67861111,-93.84361111,2,20,Lvul,1,0,26.8,8,,,1,0,17,7,,,,0,0.3423,0.2447,0.587,
16,B,58.67861111,-93.84361111,2,20,Pmaj,1,0,,,6,,0,1,,,,,,0,,,,
16,B,58.67861111,-93.84361111,2,20,Toff,1,0,,,7.7,6.5,1,0,,,8.3,11,2,1,0.4207,0.2271,0.6478,
16,B,58.67861111,-93.84361111,3,0,Lvul,1,0,29.2,10,,,1,0,3.6,6,,,,0,0.0589,0.1358,0.1947,
16,B,58.67861111,-93.84361111,3,0,Pmaj,1,0,,,5.8,,0,1,,,,,,0,,,,
16,B,58.67861111,-93.84361111,3,0,Toff,1,0,,,9.2,2,1,0,,,13.7,2,,0,0.0163,0.0749,0.0912,
